"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"44","Trator Agrícola","CASE","FARMALL 110 HI-LO CAB","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a9-c8e1-77ef-91c2-4919de35d645/019e17a7-d57a-7293-83af-489d9397f292.pdf"
"45","Trator Agrícola","CASE","FARMALL 110 HI-LO CAB","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a9-c8e1-77ef-91c2-4919de35d645/019e17a7-d5ca-7f05-84e0-4385ce0195f6.pdf"
"46","Trator Agrícola","CASE","FARMALL 110 HI-LO CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a9-c8e1-77ef-91c2-4919de35d645/019e17a7-d5fd-744f-b319-8f4c4c6126f6.pdf"
"47","Trator Agrícola","CASE","FARMALL 110 HI-LO PLAT","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2aa-5140-7262-b9b5-f50e69df8123/019e17a8-75b9-7d77-8905-c6a1d02919c4.pdf"
"48","Trator Agrícola","CASE","FARMALL 110 HI-LO PLAT","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2aa-5140-7262-b9b5-f50e69df8123/019e17a8-7608-7d64-a63c-3ea8e7f5f1bd.pdf"
"49","Trator Agrícola","CASE","FARMALL 110 HI-LO PLAT","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2aa-5140-7262-b9b5-f50e69df8123/019e17a8-76a6-7833-94ce-152728f89ebd.pdf"
"50","Trator Agrícola","CASE","FARMALL 110 ROPS","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2b3-e1d4-7dd7-8bbb-451b404b4c58/019e17a9-00c6-7d70-a804-0ad8d82d919b.pdf"
"51","Trator Agrícola","CASE","FARMALL 110 ROPS","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2b3-e1d4-7dd7-8bbb-451b404b4c58/019e17a9-0117-71b2-bf95-580ca5e816e7.pdf"
"52","Trator Agrícola","CASE","FARMALL 110 ROPS","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2b3-e1d4-7dd7-8bbb-451b404b4c58/019e17a9-0128-7859-9f3a-0388ed2637f9.pdf"
"53","Trator Agrícola","CASE","FARMALL 120A","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a6-7958-9837-23d24d037f0d/019e17a9-719a-70cc-921e-bf3d8c7ec877.pdf"
