"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"47","Colhedora de Algodão","JOHN DEERE","CP770","CATALOGO E LOCALIZAÇÃO DOS FILTROS DA COLHEDORA DE ALGODÃO JOHN DEERE - CP770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-75e2-9afd-0e4fb6f46f8e/019dc9c6-5b71-76d1-a467-a26a36809826.pdf"
"48","Colhedora de Algodão","JOHN DEERE","CP770","ESPECIFICAÇÃO TÉCNICA DA COLHEDORA DE ALGODÃO JOHN DEERE CP770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-75e2-9afd-0e4fb6f46f8e/019dab41-ff57-7649-a7a4-450319b16eed.pdf"
"49","Colhedora de Algodão","JOHN DEERE","CP770","FOLHETO DA COLHEDORA DE ALGODÃO JOHN DEERE CP770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-75e2-9afd-0e4fb6f46f8e/019dab42-012f-7223-bc05-a84ad0d2f4fb.pdf"
"50","Colhedora de Algodão","JOHN DEERE","CP770","GUIA DE MANUTENÇÃO E INSPEÇÃO DA COLHEDORA DE ALGODÃO JOHN DEERE - CP770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-75e2-9afd-0e4fb6f46f8e/019dab42-0296-7bdf-885b-b5c072e4ee65.pdf"
"51","Colhedora de Algodão","JOHN DEERE","CP770","GUIA DE REFERÊNCIA RÁPIDA COLHEDORA DE ALGODÃO JOHN DEERE - 7760 - CP770 - CS770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-75e2-9afd-0e4fb6f46f8e/019dab42-b13f-735a-b09d-94b87604d230.pdf"
"52","Colhedora de Algodão","JOHN DEERE","CP770","INSTRUÇÃO DE PRÉ ENTREGA DA COLHEDORA DE ALGODÃO JOHN DEERE - CP770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-75e2-9afd-0e4fb6f46f8e/019dab42-b2c3-7f36-add8-806df12492c0.pdf"
"53","Colhedora de Algodão","JOHN DEERE","CP770","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE - CP770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-75e2-9afd-0e4fb6f46f8e/019dc9c2-9a38-7171-975a-7847bda0e783.pdf"
"54","Colhedora de Algodão","JOHN DEERE","CP770","SISTEMA TÉCNICO HIDRÁULICO DA COLHEDORA DE ALGODÃO JOHN DEERE CP770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-75e2-9afd-0e4fb6f46f8e/019dab42-b75b-7be9-9fba-9dbe3b0e05e2.pdf"
"55","Colhedora de Algodão","JOHN DEERE","CS690","GUIA DE REFERENCIA RÁPIDA DA COLHEDORA D EALGODÃO CP690 - CS690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6c0-708a-79f9-b997-645488efc98e/019dab43-9c32-7717-a49b-c31e9778d5e0.pdf"
"56","Colhedora de Algodão","JOHN DEERE","CS690","GUIA DO SISTEMA DE DESCARGA DA COLHEDORA JOHN DEERE CP690 - CS690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6c0-708a-79f9-b997-645488efc98e/019dab5c-420f-7082-896a-f2fa9a123466.pdf"
"57","Colhedora de Algodão","JOHN DEERE","CS690","INSTRUÇÕES DE INSTALAÇÃO CHICOTE ELÉTRICO DA CAMERA DO MONITOR 4640 - COLHEDORA DE ALGODÃO - CP690 - CS690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6c0-708a-79f9-b997-645488efc98e/019dab43-9c62-7a8d-948f-b8f965ef2a48.pdf"
"58","Colhedora de Algodão","JOHN DEERE","CS690","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE - CS690 - ESPANHOL","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6c0-708a-79f9-b997-645488efc98e/019dab5c-a23c-7491-abf8-4cdd6c885769.pdf"
"59","Colhedora de Algodão","JOHN DEERE","CS770","ESPECIFICAÇÃO TÉCNICA DA COLHEDORA DE ALGODÃO JOHN DEERE CS770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6c0-bee4-7739-bf51-57c65c694d18/019dab44-6c61-7d89-a7e2-b631b2c4bea8.pdf"
"60","Colhedora de Algodão","JOHN DEERE","CS770","FOLHETO DA COLHEDORA DE ALGODÃO JOHN DEERE CS770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6c0-bee4-7739-bf51-57c65c694d18/019dab44-6dfc-7cc9-a1bc-4e201f1cea9f.pdf"
"61","Colhedora de Algodão","JOHN DEERE","CS770","GUIA DE LIMPESA DA COLHEDORA DE ALGODÃO CS770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6c0-bee4-7739-bf51-57c65c694d18/019dab4e-f911-736a-8122-d2448486076f.pdf"
"62","Colhedora de Algodão","JOHN DEERE","CS770","GUIA DE REFERÊNCIA RÁPIDA COLHEDORA DE ALGODÃO JOHN DEERE - 7760 - CP770 - CS770","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6c0-bee4-7739-bf51-57c65c694d18/019dab44-706b-79a0-9966-0b5861212061.pdf"
"63","Colhedora de Algodão","JOHN DEERE","CS770","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE - CS770 - ESPANHOL","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019da6c0-bee4-7739-bf51-57c65c694d18/019dab48-5caf-787d-9520-9aa63301d3ea.pdf"
"64","Colhedora de Cana","CASE","A7000","CIRCUITO HIDRÁULICOS DA COLHEDORA DE CANA - CASE - A7000 - A7700","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc513-f74d-7414-b04d-ee3436d98339/019dc51d-ba22-76c3-a173-997eb384cc16.pdf"
"65","Colhedora de Cana","CASE","A7000","MANUAL DE TREINAMENTO DA COLHEDORA DE CANA - CASE - A7000 - A7700","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc513-f74d-7414-b04d-ee3436d98339/019dc51d-ba65-7489-aa30-db08fa7c7ca0.pdf"
"66","Colhedora de Cana","CASE","A7000","MANUAL DO OPERADOR DA COLHEDORA DE CANA - CASE - A7000 - A7700","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc513-f74d-7414-b04d-ee3436d98339/019dc51d-bbaf-7fef-bd0d-3544cfbba104.pdf"
"67","Colhedora de Cana","CASE","A7700","CIRCUITO HIDRÁULICOS DA COLHEDORA DE CANA - CASE - A7000 - A7700","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-3ab8-725b-a1f5-60fe58d4e81c/019dc51e-7f13-7fb8-82a6-e2a8685bf514.pdf"
"68","Colhedora de Cana","CASE","A7700","MANUAL DE TREINAMENTO DA COLHEDORA DE CANA - CASE - A7000 - A7700","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-3ab8-725b-a1f5-60fe58d4e81c/019dc51e-7f57-7b97-a105-ccd46bf3590d.pdf"
"69","Colhedora de Cana","CASE","A7700","MANUAL DO OPERADOR DA COLHEDORA DE CANA - CASE - A7000 - A7700","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-3ab8-725b-a1f5-60fe58d4e81c/019dc51e-8103-78a6-9e34-b68401db6509.pdf"
"70","Colhedora de Cana","CASE","A8000","CATALOGO DE PEÇAS COLHEDORA DE CANA - CASE A8000-A8800 f","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-8435-70c1-83e1-7cb9c0df0e48/019dc551-a7e2-79c0-9699-73a96ff34adc.pdf"
"71","Colhedora de Cana","CASE","A8000","ENTREGA TÉCNICA DA COLHEDORA DE CANA - CASE - A8000 - A8800","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-8435-70c1-83e1-7cb9c0df0e48/019dc51e-f989-7147-b98f-7575df42d48a.pdf"
"72","Colhedora de Cana","CASE","A8000","ESPECIFICAÇÕES TÉCNICAS DAS COLHEDORAS DE CANA - CASE - A8000 - A8800 - A8800MR - 2017","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-8435-70c1-83e1-7cb9c0df0e48/019dc51e-fa03-7e08-a6dd-7760d1146f3f.pdf"
"73","Colhedora de Cana","CASE","A8000","INFORMAÇÕES TÉCNICA SOBRE MEDIR-PRESSAO - COLHEDORADE CANA - CASE - A8000 - A8800","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-8435-70c1-83e1-7cb9c0df0e48/019dc51e-fa73-7e6b-aa3b-ef3c66c18135.pdf"
"74","Colhedora de Cana","CASE","A8000","MANUAL DE CALIBRAÇÃO DA COLHEDORA DE CANA - CASE - A8000 - A8800","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-8435-70c1-83e1-7cb9c0df0e48/019dc51e-fab5-7c6a-99b9-29c6833bccb2.pdf"
"75","Colhedora de Cana","CASE","A8000","MANUAL DE REPARAÇÃO DA COLHEDORA DE CANA - CASE A8000 - A8800","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/019dc514-8435-70c1-83e1-7cb9c0df0e48/019dc51e-fb37-705c-b2d7-f3a18df81bc1.pdf"
